TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,60,26,34,0.433,2900.0,2604.0,5606.0,0.465,811.0,2259.0,0.359,1207.0,1490.0,0.81,780.0,1924.0,2704.0,1568.0,801.0,446.0,274.0,335.0,1113.0,1218.0,7226.0,-138.0,9,21,20,21,11,8,2,22,10,8,22,3,5,7,1,22,8,17,15,16,24,22,10,6,5,22
1610612738,Boston Celtics,59,47,12,0.797,2857.0,2573.0,5299.0,0.486,957.0,2494.0,0.384,1034.0,1273.0,0.812,621.0,2156.0,2777.0,1550.0,734.0,379.0,389.0,217.0,1001.0,1071.0,7137.0,633.0,23,1,1,1,26,13,20,10,1,1,4,16,20,6,15,1,2,20,2,29,2,1,2,29,8,1
1610612751,Brooklyn Nets,60,24,36,0.4,2895.0,2487.0,5433.0,0.458,824.0,2251.0,0.366,932.0,1229.0,0.758,694.0,1970.0,2664.0,1595.0,762.0,411.0,311.0,296.0,1155.0,1081.0,6730.0,-129.0,9,23,23,23,15,21,9,27,7,9,16,28,27,26,6,15,10,13,7,25,15,12,16,28,23,21
1610612766,Charlotte Hornets,60,15,45,0.25,2890.0,2424.0,5292.0,0.458,722.0,2004.0,0.36,887.0,1130.0,0.785,596.0,1863.0,2459.0,1488.0,823.0,402.0,281.0,311.0,1127.0,1053.0,6457.0,-629.0,9,27,27,27,17,27,21,26,21,16,19,30,30,11,23,29,28,26,19,27,22,18,12,30,29,30
1610612741,Chicago Bulls,60,28,32,0.467,2930.0,2496.0,5387.0,0.463,697.0,1957.0,0.356,1010.0,1269.0,0.796,678.0,1963.0,2641.0,1474.0,741.0,462.0,303.0,303.0,1150.0,1132.0,6699.0,-89.0,9,19,19,19,6,20,14,24,26,22,24,18,22,9,9,16,13,27,3,10,16,15,15,16,24,20
1610612739,Cleveland Cavaliers,59,39,20,0.661,2852.0,2504.0,5201.0,0.481,797.0,2180.0,0.366,958.0,1247.0,0.768,613.0,2033.0,2646.0,1632.0,797.0,439.0,292.0,296.0,1090.0,1140.0,6763.0,299.0,23,6,5,5,27,18,25,12,11,11,17,24,25,21,19,9,11,11,14,19,20,12,6,15,21,4
1610612742,Dallas Mavericks,61,34,27,0.557,2928.0,2630.0,5481.0,0.48,913.0,2443.0,0.374,1068.0,1411.0,0.757,600.0,1973.0,2573.0,1541.0,758.0,410.0,278.0,246.0,1137.0,1273.0,7241.0,43.0,2,12,15,15,7,6,5,13,2,2,10,15,11,27,22,13,19,21,5,26,23,2,13,2,4,15
1610612743,Denver Nuggets,61,42,19,0.689,2928.0,2673.0,5419.0,0.493,700.0,1904.0,0.368,941.0,1239.0,0.759,671.0,2035.0,2706.0,1774.0,774.0,425.0,335.0,290.0,1119.0,1116.0,6987.0,260.0,2,2,4,4,7,4,11,6,25,27,14,25,26,25,10,8,7,3,8,23,11,11,11,21,13,8
1610612765,Detroit Pistons,59,9,50,0.153,2847.0,2479.0,5253.0,0.472,667.0,1841.0,0.362,1010.0,1304.0,0.775,649.0,1919.0,2568.0,1557.0,908.0,360.0,294.0,358.0,1288.0,1099.0,6635.0,-512.0,23,29,29,29,29,22,24,17,29,30,18,18,16,17,14,23,21,18,28,30,18,25,29,23,27,28
1610612744,Golden State Warriors,59,32,27,0.542,2862.0,2569.0,5438.0,0.472,895.0,2358.0,0.38,994.0,1269.0,0.783,735.0,2033.0,2768.0,1714.0,854.0,401.0,249.0,287.0,1187.0,1123.0,7027.0,134.0,23,18,15,17,24,14,8,16,3,3,5,20,22,14,4,9,4,7,22,28,27,9,22,19,12,12
1610612745,Houston Rockets,60,26,34,0.433,2905.0,2467.0,5419.0,0.455,730.0,2098.0,0.348,1103.0,1435.0,0.769,682.0,2087.0,2769.0,1473.0,794.0,451.0,270.0,358.0,1281.0,1202.0,6767.0,-12.0,9,21,20,21,10,25,11,28,20,14,28,11,8,20,7,5,3,28,12,13,25,25,28,9,20,18
1610612754,Indiana Pacers,61,34,27,0.557,2928.0,2860.0,5647.0,0.506,827.0,2181.0,0.379,990.0,1271.0,0.779,617.0,1884.0,2501.0,1890.0,818.0,479.0,354.0,342.0,1321.0,1126.0,7537.0,90.0,2,12,15,15,7,1,1,1,6,10,7,22,21,16,16,28,25,1,18,5,8,23,30,18,1,13
1610612746,LA Clippers,58,38,20,0.655,2789.0,2499.0,5064.0,0.493,752.0,1926.0,0.39,1085.0,1328.0,0.817,591.0,1903.0,2494.0,1510.0,760.0,459.0,291.0,266.0,1098.0,1121.0,6835.0,284.0,30,7,5,7,30,19,30,5,16,25,3,12,14,5,24,26,26,23,6,11,21,4,7,20,17,5
1610612747,Los Angeles Lakers,62,33,29,0.532,3001.0,2707.0,5449.0,0.497,706.0,1905.0,0.371,1142.0,1477.0,0.773,503.0,2124.0,2627.0,1771.0,843.0,476.0,348.0,303.0,998.0,1222.0,7262.0,-33.0,1,17,18,18,1,2,7,3,23,26,13,7,6,18,30,3,14,4,21,7,9,15,1,4,3,19
1610612763,Memphis Grizzlies,61,20,41,0.328,2943.0,2342.0,5349.0,0.438,818.0,2356.0,0.347,968.0,1274.0,0.76,608.0,1932.0,2540.0,1521.0,909.0,481.0,374.0,386.0,1183.0,1162.0,6470.0,-409.0,2,25,25,25,3,29,18,30,8,4,29,23,19,24,20,21,23,22,29,4,3,29,21,13,28,25
