TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,82,36,46,0.439,3971.0,3529.0,7584.0,0.465,1125.0,3092.0,0.364,1520.0,1906.0,0.797,1024.0,2639.0,3663.0,2180.0,1110.0,615.0,369.0,461.0,1522.0,1594.0,9703.0,-179.0,1,21,21,21,3,10,2,21,6,7,17,5,7,8,3,22,6,16,16,16,26,22,15,7,5,21
1610612738,Boston Celtics,82,64,18,0.78,3966.0,3601.0,7396.0,0.487,1351.0,3482.0,0.388,1334.0,1654.0,0.807,876.0,2923.0,3799.0,2207.0,979.0,557.0,538.0,304.0,1326.0,1416.0,9887.0,930.0,1,1,1,1,7,4,8,8,1,1,2,19,26,7,14,1,2,14,1,27,1,1,2,30,2,1
1610612751,Brooklyn Nets,82,32,50,0.39,3961.0,3334.0,7307.0,0.456,1089.0,3010.0,0.362,1293.0,1711.0,0.756,938.0,2675.0,3613.0,2102.0,1076.0,556.0,424.0,409.0,1516.0,1496.0,9050.0,-237.0,1,22,22,22,10,25,16,28,9,9,19,23,20,28,7,20,11,20,12,28,12,16,13,21,25,22
1610612766,Charlotte Hornets,82,21,61,0.256,3946.0,3281.0,7133.0,0.46,989.0,2788.0,0.355,1189.0,1512.0,0.786,765.0,2538.0,3303.0,2033.0,1129.0,562.0,371.0,396.0,1472.0,1432.0,8740.0,-840.0,1,27,27,27,23,27,25,26,23,17,21,30,30,11,27,29,30,26,18,25,25,13,7,29,28,30
1610612741,Chicago Bulls,82,39,43,0.476,3996.0,3448.0,7339.0,0.47,941.0,2630.0,0.358,1369.0,1731.0,0.791,916.0,2677.0,3593.0,2048.0,1004.0,638.0,394.0,404.0,1541.0,1538.0,9206.0,-118.0,1,20,20,20,1,16,13,18,27,26,20,17,18,10,8,19,14,23,3,9,18,14,17,14,22,20
1610612739,Cleveland Cavaliers,82,48,34,0.585,3961.0,3425.0,7148.0,0.479,1108.0,3016.0,0.367,1278.0,1671.0,0.765,808.0,2742.0,3550.0,2299.0,1112.0,605.0,380.0,410.0,1436.0,1536.0,9236.0,198.0,1,11,11,11,10,19,24,12,7,8,15,26,24,22,22,11,17,8,17,19,21,17,5,16,20,13
1610612742,Dallas Mavericks,82,50,32,0.61,3941.0,3535.0,7352.0,0.481,1197.0,3242.0,0.369,1397.0,1842.0,0.758,797.0,2724.0,3521.0,2106.0,1027.0,563.0,406.0,331.0,1500.0,1667.0,9664.0,181.0,1,6,6,6,26,9,12,11,3,2,13,15,11,27,23,14,21,19,4,24,17,2,10,2,7,14
1610612743,Denver Nuggets,82,57,25,0.695,3941.0,3610.0,7279.0,0.496,958.0,2560.0,0.374,1240.0,1628.0,0.762,881.0,2762.0,3643.0,2415.0,1036.0,585.0,456.0,394.0,1489.0,1467.0,9418.0,431.0,1,2,2,2,26,3,17,4,25,30,10,29,29,25,13,9,7,3,5,21,10,12,9,26,14,4
1610612765,Detroit Pistons,82,14,68,0.171,3951.0,3353.0,7236.0,0.463,906.0,2602.0,0.348,1398.0,1780.0,0.785,861.0,2692.0,3553.0,2088.0,1248.0,531.0,384.0,490.0,1688.0,1457.0,9010.0,-747.0,1,30,30,30,21,24,20,24,29,27,26,14,15,12,15,18,16,22,28,30,20,25,28,28,27,28
1610612744,Golden State Warriors,82,46,36,0.561,3966.0,3582.0,7515.0,0.477,1211.0,3191.0,0.38,1282.0,1644.0,0.78,996.0,2834.0,3830.0,2402.0,1174.0,572.0,377.0,407.0,1598.0,1471.0,9657.0,214.0,1,16,16,16,7,5,3,13,2,4,7,24,27,17,5,4,1,4,23,23,23,15,22,24,8,12
